"Kods","Koda atšifrējums latviešu valodā","Koda atšifrējums angļu valodā","Pakalpojuma kategorijas Nr."
"03000000-1","Lauksaimniecības, saimniecības, zivsaimniecības, mežsaimniecības un saistītā produkcija.","Agricultural, farming, fishing, forestry and related products","preces"
"03100000-2","Lauksaimniecības un dārzkopības produkcija.","Agricultural and horticultural products","preces"
"03110000-5","Augkopības, dārzkopības un puķkopības produkcija.","Crops, products of market gardening and horticulture","preces"
"03111000-2","Sēklas.","Seeds","preces"
"03111100-3","Sojas pupas.","Soya beans","preces"
"03111200-4","Zemesrieksti.","Peanuts","preces"
"03111300-5","Saulespuķu sēklas.","Sunflower seeds","preces"
"03111400-6","Kokvilnas sēklas.","Cotton seeds","preces"
"03111500-7","Sezama sēklas.","Sesame seeds","preces"
"03111600-8","Sinepju sēklas.","Mustard seeds","preces"
"03111700-9","Dārzeņu sēklas.","Vegetable seeds","preces"
"03111800-0","Augļu sēklas.","Fruit seeds","preces"
"03111900-1","Puķu sēklas.","Flower seeds","preces"
"03112000-9","Neapstrādāta tabaka.","Unmanufactured tobacco","preces"
"03113000-6","Cukura ražošanai izmantojamie augi.","Plants used for sugar manufacturing","preces"
"03113100-7","Cukurbietes.","Sugar beet","preces"
"03113200-8","Cukurniedres.","Sugar cane","preces"
"03114000-3","Salmi un lopbarība.","Straw and forage","preces"
"03114100-4","Salmi.","Straw","preces"
"03114200-5","Rupjā lopbarība.","Forage","preces"
"03115000-0","Augu izejvielas.","Raw vegetable materials","preces"
"03115100-1","Audumu ražošanā izmantojamās augu izejvielas.","Raw vegetable materials used in textile production","preces"
"03115110-4","Kokvilna.","Cotton","preces"
"03115120-7","Džuta.","Jute","preces"
"03115130-0","Lini.","Flax","preces"
"03116000-7","Dabiskais kaučuks, latekss un saistītie produkti.","Natural rubber and latex, and associated products","preces"
"03116100-8","Dabiskais kaučuks.","Natural rubber","preces"
"03116200-9","Dabiskais latekss.","Natural latex","preces"
"03116300-0","Lateksa produkti.","Latex products","preces"
"03117000-4","Specifiskās jomās izmantojamie augi.","Plants used in specific fields","preces"
"03117100-5","Parfimērijā, farmācijā, insekticīdu izgatavošanā vai līdzīgiem mērķiem izmantojamie augi.","Plants used in perfumery or pharmacy, or for insecticidal or similar purposes","preces"
"03117110-8","Parfimērijā izmantojamie augi.","Plants used in perfumery","preces"
"03117120-1","Farmācijā izmantojamie augi.","Plants used in pharmacy","preces"
"03117130-4","Insekticīdu izgatavošanā izmantojamie augi.","Plants used for insecticidal purposes","preces"
